"","Rice","Taro","Breadfruit","Fish","Pork","Cabbage","Bird_nest_fern","Banana","Coconut","Imp_fruits","Eggs","Sweetened_bevs","Ice_cream","Potatoes","Cassava","Instant_noodles","Chicken","Lamb_beef","Cucumber","Imp_vegs","Papaya","Pandanus","Milk","Chips_biscuits","Cake"
"1",1,1,1,1,1,3,3,1,1,1,1,1,3,3,1,3,1,1,3,1,3,1,1,1,3
"2",1,2,2,1,3,1,3,3,2,1,1,2,2,1,2,2,1,2,2,2,2,3,1,2,3
"3",1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,3,1,3,1,1,1,1,3,1,1,1,1,1,2,2,2,3,3,3,2,3
"7",1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",1,1,1,1,3,1,3,1,1,1,3,3,3,1,1,3,1,3,1,1,1,3,1,1,1
"9",1,1,2,1,3,1,3,2,1,1,1,2,3,1,2,3,1,1,1,1,2,3,1,1,2
"10",1,3,1,1,3,1,2,1,1,3,3,3,1,1,3,1,3,3,3,3,3,3,1,3,1
"11",1,1,2,1,2,2,3,3,2,3,2,1,2,3,3,2,1,2,2,2,3,3,2,2,2
"12",1,1,1,1,2,1,3,2,1,2,1,3,2,1,1,1,1,3,1,2,1,2,1,1,1
"13",1,1,1,1,3,1,1,3,1,2,1,3,3,1,1,3,3,3,1,3,1,3,3,1,3
"14",1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2
"15",1,1,3,1,2,1,2,1,2,1,1,3,3,1,1,1,1,3,1,1,3,2,1,1,2
"16",1,3,3,1,2,1,3,2,1,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1
"17",1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2
"18",1,3,1,1,1,3,3,1,1,1,1,3,1,1,3,1,1,3,1,1,3,3,1,1,1
"19",3,3,1,1,3,1,2,3,1,1,1,3,3,3,1,3,1,3,1,1,2,3,3,3,2
"20",1,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1
"21",1,1,1,1,2,2,2,2,2,3,1,1,3,1,1,1,1,1,1,2,3,3,3,3,3
"22",1,3,1,1,2,1,1,1,1,2,1,2,3,1,2,1,3,3,2,1,2,3,2,1,3
"23",3,1,1,1,3,1,1,1,1,3,2,3,3,1,1,3,1,3,1,3,1,3,2,3,3
"24",2,1,1,1,3,1,1,1,1,3,1,3,3,1,1,3,3,3,1,3,1,3,1,3,3
"25",3,1,1,1,3,1,1,2,2,3,3,3,3,3,2,2,2,2,1,3,1,3,3,3,3
"26",3,1,1,1,3,1,1,1,1,3,1,3,3,2,2,2,3,3,1,1,1,3,1,2,3
"27",3,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,3,3,1,3,1,3,1,3,3
"28",1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1
"29",1,3,3,1,3,3,3,3,3,3,1,1,3,3,3,1,1,3,3,1,3,3,3,3,3
"30",1,2,2,1,3,3,3,2,1,3,2,1,3,2,2,2,1,3,3,2,3,2,1,3,3
"31",1,1,1,1,2,1,3,1,1,2,1,3,1,1,1,1,1,3,1,2,2,1,1,1,1
"32",1,2,1,1,3,1,3,1,1,1,1,3,1,1,3,1,2,1,2,1,2,1,2,1,2
"33",1,3,3,1,1,1,1,1,1,3,1,1,3,3,1,1,1,1,1,3,3,3,1,1,1
"34",1,1,3,1,3,3,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,2,3,3
"35",1,2,1,1,3,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1
"36",1,2,3,1,3,3,3,2,1,3,1,3,3,2,2,1,1,3,1,3,2,2,1,3,3
"37",1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3
"38",1,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,1,2,2,3,3,3,3,3,3
"39",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,3,3
"40",1,1,2,1,3,1,3,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1
"41",1,3,3,1,3,2,3,1,1,3,1,2,3,3,3,1,1,3,3,2,3,3,2,3,3
"42",1,2,1,1,3,1,3,2,1,2,1,3,3,1,3,1,1,3,1,2,2,3,3,2,3
"43",1,2,2,1,3,1,3,1,1,1,1,2,1,1,1,1,1,3,1,2,1,2,1,1,1
"44",1,1,2,1,2,2,3,1,1,2,1,3,3,1,1,1,1,3,1,3,2,2,1,1,1
"45",1,3,3,1,3,2,3,2,2,2,1,3,3,1,3,2,3,3,1,1,3,3,1,3,3
"46",1,1,2,1,3,1,1,3,1,2,1,3,3,1,1,1,1,3,1,1,1,1,1,1,1
"47",1,2,1,1,3,2,1,1,1,1,1,3,3,1,1,1,3,3,1,2,1,3,1,2,1
"48",1,2,2,1,3,2,3,1,3,1,2,1,1,2,2,1,2,3,1,1,3,2,1,1,1
"49",1,1,2,1,3,2,2,2,1,2,1,3,2,3,3,1,1,3,2,1,3,2,1,2,2
"50",1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,1,3,1,1,1,1,1,1,3
"51",1,2,3,1,2,3,3,2,1,1,1,1,2,3,2,1,1,3,1,2,3,1,3,2,2
"52",1,3,1,1,3,3,3,3,3,2,1,3,3,1,3,2,2,3,3,2,3,3,2,3,3
"53",1,3,1,1,3,2,3,3,2,3,3,1,3,1,3,3,1,3,1,3,2,3,3,3,3
"54",1,2,1,1,2,1,3,2,1,1,1,1,1,1,1,1,2,1,2,3,3,2,1,1,2
"55",1,1,1,1,3,2,2,1,2,2,2,2,2,1,1,1,1,3,2,2,2,2,2,2,2
"56",1,1,1,1,3,1,2,2,2,2,1,2,2,1,1,1,1,3,2,2,2,2,1,2,2
"57",1,1,1,1,3,1,1,1,1,2,1,2,3,1,1,1,1,3,3,1,1,3,3,3,3
"58",1,3,1,1,3,1,3,3,1,3,1,3,3,2,2,3,1,3,1,3,3,3,1,3,3
"59",1,1,1,1,3,1,2,2,1,2,2,2,2,1,1,1,1,3,2,2,2,2,2,2,2
"60",1,3,2,1,3,2,3,3,2,2,2,3,3,3,3,1,1,3,2,3,1,3,2,2,3
"61",1,2,2,1,3,1,3,2,1,1,2,2,2,2,2,1,1,3,1,1,1,3,1,3,3
"62",1,3,3,3,1,1,3,2,2,2,1,3,3,2,2,1,1,3,2,1,2,2,1,2,2
"63",1,1,1,1,3,1,3,3,1,2,2,3,3,3,3,1,1,3,1,2,2,3,2,2,3
"64",1,3,1,1,3,1,3,1,1,1,1,3,1,1,3,1,1,2,2,1,1,1,1,1,3
"65",1,1,1,1,3,3,3,3,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,3
"66",1,1,2,1,3,3,3,3,1,1,3,3,3,1,1,1,1,2,3,2,3,3,1,1,3
"67",1,1,2,1,2,3,3,1,1,1,1,2,2,2,3,1,1,1,1,2,2,2,1,1,2
"68",1,3,3,1,3,3,3,3,1,1,1,3,3,1,3,1,3,3,2,2,2,2,3,1,3
"69",1,3,1,1,1,3,3,3,3,1,3,1,3,3,3,1,1,3,1,3,1,3,1,1,3
"70",1,3,1,1,1,3,3,2,1,3,1,1,1,1,3,1,1,3,3,1,1,2,1,2,3
"71",1,1,3,1,1,1,3,2,1,1,2,2,2,1,3,1,2,3,2,1,1,1,1,1,1
"72",2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"73",1,3,1,1,3,2,3,1,1,1,1,3,3,2,3,3,1,1,1,1,1,3,3,3,3
"74",1,3,3,1,3,3,3,3,3,3,3,3,2,1,2,1,1,1,1,1,2,3,1,3,2
"75",1,1,3,1,3,3,3,3,3,1,1,1,3,1,1,2,1,3,1,1,1,3,1,2,3
"76",1,2,1,1,3,2,3,3,2,3,2,3,3,2,2,1,1,3,1,2,2,3,2,2,2
"77",1,3,3,1,3,1,3,3,3,1,1,1,3,3,3,1,1,2,1,3,3,3,1,1,3
"78",1,3,3,1,3,3,3,2,1,3,1,3,3,3,2,3,3,3,2,2,3,3,3,3,3
"79",1,3,2,1,3,1,3,3,1,3,2,3,3,3,2,2,1,3,2,3,3,3,2,3,3
